Compañía;ubi;UBID;AREA;ID_AREA
TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10);SAHAGUN (C351);1;MANTENIMIENTO ELECTRICO TERMICAS (CLS53000486);3
CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07);MEDELLIN (C202);2;INGENIERIA PARA EL DESARROLLO (CLS51000795);5
ZFC S.A. E.S.P. (CLS-CO02);ZONA FRANCA (C206);6;LOGISTICA NACIONAL (CLS53000012);11
CELSIA S.A (CLS-CO01);MERILECTRICA (C204);14;MANTENIMIENTO ME (CLS53000351);36
ENERBIT S.A.S. E.S.P. (CLS-CO11);PEREIRA (C360);17;COMERCIALIZACION ENERGIA ENERBIT (CLS53000619);47
CETSA E.S.P. (CLS-CO06);TULUA (C208);12;OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE NORTE (CLS53000398);33
EPSA E.S.P. (CLS-CO07);SALVAJINA (C210);25;CENTRAL HIDRAULICA SALVAJINA (CLS51000817);78
FUNDACION CELSIA COLOMBIA (CLS-CO09);MEDELLIN (C202);2;INGENIERIA PARA EL DESARROLLO (CLS51000795);5
CELSIA MOVE (CLS-CO99);BOGOTA (C227);18;REGIONAL BOGOTA (CLS53000288);55
PEGO LTD (CLS-CR03);GUANACASTE PEGO (T002);70;PLANTA EOLICA GUANACASTE (CLS52000036);325
PORVENIR II S.A.S. E.S.P. (CLS-CO04);MEDELLIN (C202);2;INGENIERIA PARA EL DESARROLLO (CLS51000795);5
